,year,Alt_min_km,Alt_mean_km,Alt_max_km,fb_count
23,2021,19.1,33.4,63.0,18
22,2020,14.5,33.1,52.5,29
21,2019,19.5,34.9,61.5,29
20,2018,26.0,34.8,63.0,21
19,2017,20.0,35.0,64.5,19
18,2016,27.8,36.8,54.0,22
17,2015,22.0,38.9,71.0,31
16,2014,18.7,29.8,44.0,19
15,2013,21.2,33.8,66.6,15
14,2012,20.4,32.1,61.0,17
13,2011,21.3,41.1,63.0,14
12,2010,22.2,37.2,66.0,15
11,2009,19.1,33.1,57.4,16
10,2008,21.1,35.7,54.4,17
9,2007,29.6,37.0,53.0,15
8,2006,20.0,36.7,48.2,19
7,2005,15.2,41.0,74.0,28
6,2004,29.6,40.1,63.0,8
5,2003,17.0,28.6,45.0,5
30,2002,,,,0
4,2001,29.0,29.0,29.0,1
3,2000,48.0,48.0,48.0,1
2,1999,32.0,50.0,69.0,4
1,1998,30.0,30.0,30.0,1
0,1997,37.0,37.0,37.0,1
29,1996,,,,0
28,1995,,,,0
27,1994,,,,0
26,1993,,,,0
25,1991,,,,0
24,1990,,,,0
